p,q,pumps,tills,trucks,averageProfit,averageLoss
0.03,0.04,1,4,true,537.00,2782.503
0.03,0.04,2,1,true,897.48,2438.995
0.03,0.04,2,2,true,1080.12,2100.904
0.03,0.04,2,4,true,1065.60,2213.953
0.03,0.04,4,1,true,1104.72,2066.599
0.03,0.04,4,2,true,1819.80,1395.545
0.03,0.04,4,4,true,1860.48,1342.576
0.03,0.05,1,1,true,532.08,3157.005
0.03,0.05,1,2,true,520.44,2932.527
0.03,0.05,1,4,true,532.92,3260.596
0.03,0.05,2,1,true,895.08,2879.289
0.03,0.05,2,2,true,1104.12,2625.861
0.03,0.05,2,4,true,1092.60,2618.137
0.03,0.05,4,1,true,1110.84,2333.928
0.03,0.05,4,2,true,1888.80,1793.347
0.03,0.05,4,4,true,2025.84,1633.662
0.04,0.01,1,1,true,493.08,1668.27
0.04,0.01,1,2,true,476.40,1876.324
0.04,0.01,1,4,true,477.60,1809.281
0.04,0.01,2,1,true,783.72,1374.072
0.04,0.01,2,2,true,949.80,1331.426
0.04,0.01,2,4,true,960.12,1401.313
0.04,0.01,4,1,true,877.92,1289.918
0.04,0.01,4,2,true,1439.52,767.18
0.04,0.01,4,4,true,1448.52,822.157
0.04,0.02,1,1,true,491.16,2202.955
0.04,0.02,1,2,true,485.88,2226.769
0.04,0.02,1,4,true,481.92,2189.482
0.04,0.02,2,1,true,790.08,1933.22
0.04,0.02,2,2,true,996.84,1636.409
0.04,0.02,2,4,true,1009.44,1718.141
0.04,0.02,4,1,true,878.40,1755.911
0.04,0.02,4,2,true,1551.00,1010.136
0.04,0.02,4,4,true,1658.28,1050.956
0.04,0.03,1,1,true,518.52,2562.863
0.04,0.03,1,2,true,508.68,2691.12
0.04,0.03,1,4,true,500.52,2707.649
0.04,0.03,2,1,true,801.36,2373.52
0.04,0.03,2,2,true,1027.32,2027.159
0.04,0.03,2,4,true,1023.12,2009.288
0.04,0.03,4,1,true,912.24,2085.731
0.04,0.03,4,2,true,1746.72,1461.966
0.04,0.03,4,4,true,1850.40,1337.881
0.04,0.04,1,1,true,523.44,3012.00
0.04,0.04,1,2,true,510.96,3105.168
0.04,0.04,1,4,true,513.12,3174.109
0.04,0.04,2,1,true,848.28,2651.115
0.04,0.04,2,2,true,1040.04,2479.871
0.04,0.04,2,4,true,1041.96,2654.957
0.04,0.04,4,1,true,929.28,2639.704
0.04,0.04,4,2,true,1785.12,1763.488
0.04,0.04,4,4,true,1951.20,1481.477
0.04,0.05,1,1,true,510.84,3475.454
0.04,0.05,1,2,true,513.48,3515.342
0.04,0.05,1,4,true,518.28,3636.488
0.04,0.05,2,1,true,864.72,3183.474
0.04,0.05,2,2,true,1062.84,2802.079
0.04,0.05,2,4,true,1059.96,2806.538
0.04,0.05,4,1,true,934.08,2878.198
0.04,0.05,4,2,true,1860.84,2043.503
0.04,0.05,4,4,true,2087.64,1885.187
0.05,0.01,1,1,true,471.00,2209.552
0.05,0.01,1,2,true,472.68,2179.169
0.05,0.01,1,4,true,473.16,2105.699
0.05,0.01,2,1,true,742.56,1708.615
0.05,0.01,2,2,true,957.24,1732.171
0.05,0.01,2,4,true,955.32,1706.047
0.05,0.01,4,1,true,801.12,1723.079
0.05,0.01,4,2,true,1515.00,1008.11
0.05,0.01,4,4,true,1618.80,956.756
0.05,0.02,1,1,true,463.80,2621.13
0.05,0.02,1,2,true,483.84,2594.743
0.05,0.02,1,4,true,471.24,2604.938
0.05,0.02,2,1,true,729.24,2366.224
0.05,0.02,2,2,true,977.76,2114.928
0.05,0.02,2,4,true,983.16,2059.56
0.05,0.02,4,1,true,833.76,2087.473
0.05,0.02,4,2,true,1627.92,1369.463
0.05,0.02,4,4,true,1765.08,1112.574
0.05,0.03,1,1,true,479.76,2930.24
0.05,0.03,1,2,true,479.64,2819.22
0.05,0.03,1,4,true,474.24,3047.39
0.05,0.03,2,1,true,757.80,2838.378
0.05,0.03,2,2,true,967.20,2460.13
0.05,0.03,2,4,true,1003.68,2483.336
0.05,0.03,4,1,true,858.12,2604.996
0.05,0.03,4,2,true,1680.36,1793.311
0.05,0.03,4,4,true,1884.36,1568.49
0.05,0.04,1,1,true,505.80,3298.282
0.05,0.04,1,2,true,496.44,3367.187
0.05,0.04,1,4,true,486.84,3522.026
0.05,0.04,2,1,true,765.00,3118.261
0.05,0.04,2,2,true,1016.88,2759.27
0.05,0.04,2,4,true,1026.24,2983.092
0.05,0.04,4,1,true,853.08,3051.686
0.05,0.04,4,2,true,1740.12,2163.038
0.05,0.04,4,4,true,2014.08,1928.102
0.05,0.05,1,1,true,498.60,3678.246
0.05,0.05,1,2,true,501.84,3756.534
0.05,0.05,1,4,true,494.64,3736.621
0.05,0.05,2,1,true,795.72,3446.689
0.05,0.05,2,2,true,1031.28,3284.134
0.05,0.05,2,4,true,1016.76,3434.203
0.05,0.05,4,1,true,841.56,3432.009
0.05,0.05,4,2,true,1774.44,2540.261
0.05,0.05,4,4,true,2073.12,2283.615
0.01,0.01,1,1,false,358.08,356.597
0.01,0.01,1,2,false,381.24,360.306
0.01,0.01,1,4,false,373.20,407.685
0.01,0.01,2,1,false,445.80,255.192
0.01,0.01,2,2,false,438.84,249.786
0.01,0.01,2,4,false,486.84,296.102
0.01,0.01,4,1,false,440.28,257.932
0.01,0.01,4,2,false,496.92,288.842
0.01,0.01,4,4,false,475.44,277.881
0.01,0.02,1,1,false,456.96,625.769
0.01,0.02,1,2,false,478.20,714.569
0.01,0.02,1,4,false,463.92,706.319
0.01,0.02,2,1,false,725.28,524.262
0.01,0.02,2,2,false,710.52,488.755
0.01,0.02,2,4,false,705.60,511.227
0.01,0.02,4,1,false,712.56,424.799
0.01,0.02,4,2,false,758.40,470.688
0.01,0.02,4,4,false,728.88,441.033
0.01,0.03,1,1,false,517.80,1105.44
0.01,0.03,1,2,false,528.24,1191.504
